Model,N,Validation_RMSE,Test_RMSE,Test_MAE,Directional_Accuracy
Zero Return,604,0.0247808137040165,0.0194492769889802,0.013987500287270081,
Previous Return,604,0.0349446354957836,0.028034286721882483,0.020486771644720222,0.4867549668874172
Linear Regression,604,0.024857732025739588,0.019402522572194252,0.013963706806087958,0.5198675496688742
LSTM,604,0.02479815575245444,0.019512417364339996,0.014058568641568852,0.47019867549668876
GRU,604,0.024790286331064282,0.019472322254236982,0.014015598097799613,0.478476821192053
